,Flat_S_Det_Ter_
0,S
39,S
43,F
22,D
24,F
3,F
9,S
44,S
5,F
6,F
42,F
30,F
37,S
23,F
28,F
40,S
8,S
35,F
36,F
12,F
17,S
26,S
10,S
27,F
20,F
11,D
16,F
15,F
14,F
2,F
25,F
1,S
